"indicator","subtopic","short.description","population","year","group","female","female.low.CI","female.high.CI","male","male.low.CI","male.high.CI","total","total.low.CI","total.high.CI","estimated.number","estimated.number.low.CI","estimated.number.high.CI"
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Least (1-3)",73.2,65.4,80.1,70.1,62.7,76.8,71.6,66.5,76.4,679000,631000,725000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Mid (4-7)",73.4,67.3,78.9,66.8,60.7,72.4,70.3,65.8,74.4,1053000,987000,1116000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Most (8-10)",67.6,60.6,74.1,67,58.1,75.2,67.3,61,73.3,707000,640000,770000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Total",71.6,67.8,75.2,67.8,63.8,71.6,69.8,66.9,72.5,2440000,2340000,2535000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"15-24",56.7,44.1,68.7,44.8,31.5,58.6,50.6,40.3,60.9,315000,251000,379000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"25-44",74.1,69.3,78.5,69,61.7,75.7,71.6,67.5,75.5,820000,773000,865000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"45-64",74.6,68.1,80.4,79.9,74.5,84.5,77.1,72.7,81,854000,806000,898000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"65+",75.7,68.8,81.7,69,61.1,76.2,72.4,66.9,77.4,451000,417000,482000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Maori",75.1,68.5,80.9,72.9,64.9,79.9,74,69,78.6,338000,315000,358000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Pacific",68.3,54.5,80.1,65.6,56.4,74.1,67,59,74.4,136000,119000,151000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Asian",56.2,42,69.7,49.5,33.9,65.2,53.1,42.7,63.2,211000,170000,251000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"European/Other",73.6,69.2,77.6,67.6,63,72,70.7,67.3,73.9,1920000,1828000,2007000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Least (1-3)",75.8,67.5,82.9,76.3,68.3,83.1,76,70,81.4,870000,801000,931000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Mid (4-7)",67.7,61.5,73.4,69.3,61.7,76.1,68.5,63.1,73.5,1065000,981000,1143000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Most (8-10)",67,60.9,72.7,63.9,55.4,71.8,65.6,60,70.9,580000,530000,627000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Total",70.1,66.2,73.8,70.3,65.9,74.5,70.2,67,73.2,2528000,2413000,2635000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"15-24",53.1,39,66.8,51.7,38,65.3,52.4,42.1,62.5,338000,272000,404000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"25-44",72.2,66.9,77.1,72.2,65.2,78.4,72.2,67.9,76.2,838000,789000,885000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"45-64",76.9,70.4,82.5,76.3,69.4,82.3,76.6,72.1,80.7,837000,789000,882000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"65+",70.6,61.1,78.9,76.5,68.9,83,73.3,67,79,513000,469000,553000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Maori",75.3,67.5,82,71.5,61.5,80.2,73.5,67.3,79.1,346000,317000,372000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Pacific",65.2,56.3,73.4,60.5,48.6,71.6,62.9,55.9,69.5,140000,125000,155000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Asian",54,37.6,69.7,53.5,39.2,67.4,53.7,41.4,65.7,246000,190000,301000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"European/Other",74.2,69.7,78.4,73.7,68.5,78.4,73.9,70.2,77.4,2023000,1922000,2118000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Least (1-3)",68.9,63,74.4,76.3,70,81.8,72.4,67.8,76.8,843000,789000,893000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Mid (4-7)",70,64.8,74.8,71,65.7,75.8,70.5,66.6,74.1,1155000,1092000,1214000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Most (8-10)",65.2,59.5,70.7,68.9,62.3,74.9,67.1,62.5,71.5,651000,606000,694000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Total",68.5,65.5,71.4,72,68.8,75.1,70.2,67.9,72.4,2649000,2562000,2732000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"15-24",44,34.1,54.3,61.1,51.2,70.4,52.9,45.7,60,354000,306000,402000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"25-44",70.7,65.7,75.4,69,62.1,75.3,69.9,65.4,74,854000,8e+05,905000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"45-64",79.5,75.3,83.3,79.2,73.8,84,79.4,76.1,82.4,950000,911000,986000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"65+",66.8,60.7,72.5,76.8,70.7,82.2,71.7,67.5,75.7,490000,462000,517000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Maori",72.5,66.4,78.1,73.7,64.7,81.4,73.1,67.9,77.7,363000,337000,386000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Pacific",57.3,49.1,65.1,65.6,56.6,73.9,61.6,55.2,67.7,156000,140000,172000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Asian",48.3,39.1,57.6,57.6,47.4,67.3,52.8,45.9,59.7,290000,252000,328000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"European/Other",72.9,69.6,76.1,75.2,71.4,78.8,74,71.4,76.5,2120000,2045000,2191000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Least (1-3)",67.1,58.9,74.6,68.8,58.9,77.6,67.9,62.2,73.3,858000,786000,926000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Mid (4-7)",67.9,62.2,73.3,68.9,61.1,76,68.4,63.2,73.2,1064000,984000,1139000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Most (8-10)",66.7,59.9,72.9,63.4,55.1,71.2,65.1,59.6,70.3,717000,656000,774000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Total",67.2,63.7,70.6,67.3,62.6,71.8,67.2,64.3,70,2650000,2534000,2760000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"15-24",45.8,36.9,54.8,45.1,29.1,61.9,45.4,36,55.1,305000,242000,371000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"25-44",67.3,61.3,73,70.4,62.3,77.6,68.8,64.5,72.9,894000,838000,948000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"45-64",74.5,69.4,79.2,72.1,64.8,78.7,73.4,69.2,77.3,876000,826000,923000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"65+",72.8,65.9,79,75.3,68,81.7,74,69.1,78.5,573000,535000,608000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Maori",70.8,63.1,77.7,67.6,56.5,77.5,69.3,62.2,75.7,358000,321000,391000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Pacific",60.1,50.4,69.2,60.8,49.9,71,60.4,53.1,67.4,159000,140000,177000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Asian",36.8,27.4,47,46.3,31.6,61.6,41.4,32.8,50.5,251000,199000,307000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"European/Other",73.3,69.2,77.2,72,66.9,76.8,72.7,69.3,76,2159000,2057000,2256000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Least (1-3)",19.5,13.5,26.9,23.8,16.7,32.2,21.7,16.9,27.1,206000,160000,257000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Mid (4-7)",17.7,13.7,22.3,21.9,17.2,27.3,19.7,16.6,23.1,295000,248000,347000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Most (8-10)",15.6,11.9,19.9,22.2,16.8,28.5,18.8,15.6,22.4,198000,163000,235000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Total",17.6,15,20.3,22.6,19.4,26,20,18,22.1,698000,628000,774000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"15-24",6,2.6,11.4,5.1,2.2,9.7,5.5,3.2,8.9,34000,20000,55000
