"indicator","subtopic","short.description","population","year","comparison","adjusted.rate.ratio","adjusted.rate.ratio.low.CI","adjusted.rate.ratio.high.CI","adjusted.for"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Asian vs non-Asian",0.58,0.47,0.71,"Age, Sex"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Maori vs non-Maori",1.09,0.99,1.21,"Age, Sex"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Men: Asian vs non-Asian",0.66,0.48,0.9,"Age"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Men: Maori vs non-Maori",1.07,0.9,1.26,"Age"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Men: Most deprived vs least deprived",0.95,0.8,1.13,"Age, Ethnicity"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Men: Pacific vs non-Pacific",0.95,0.78,1.14,"Age"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Most deprived vs least deprived",1,0.89,1.11,"Age, Sex, Ethnicity"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Pacific vs non-Pacific",0.94,0.83,1.06,"Age, Sex"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Women vs men",0.99,0.91,1.07,"Age"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Women: Asian vs non-Asian",0.51,0.39,0.65,"Age"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Women: Maori vs non-Maori",1.12,1,1.25,"Age"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Women: Most deprived vs least deprived",1.04,0.91,1.19,"Age, Ethnicity"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Women: Pacific vs non-Pacific",0.93,0.8,1.09,"Age"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Asian vs non-Asian",0.64,0.31,1.32,"Age, Sex"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Maori vs non-Maori",1.4,1.1,1.77,"Age, Sex"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Men: Asian vs non-Asian",1,0.41,2.45,"Age"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Men: Maori vs non-Maori",1.26,0.87,1.81,"Age"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Men: Most deprived vs least deprived",1.31,0.83,2.08,"Age, Ethnicity"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Men: Pacific vs non-Pacific",1.47,0.91,2.39,"Age"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Most deprived vs least deprived",1.51,1.09,2.1,"Age, Sex, Ethnicity"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Pacific vs non-Pacific",1.32,0.94,1.85,"Age, Sex"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Women vs men",0.8,0.62,1.02,"Age"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Women: Asian vs non-Asian",0.28,0.09,0.83,"Age"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Women: Maori vs non-Maori",1.56,1.13,2.17,"Age"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Women: Most deprived vs least deprived",1.84,1.16,2.94,"Age, Ethnicity"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Women: Pacific vs non-Pacific",1.13,0.71,1.79,"Age"
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Men: Most deprived vs least deprived",0.83,0.39,1.79,"Age"
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Most deprived vs least deprived",0.98,0.63,1.51,"Age, Sex"
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Women vs men",0.89,0.65,1.22,"Age"
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Women: Most deprived vs least deprived",1.07,0.62,1.83,"Age"
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Men: Most deprived vs least deprived",0.79,0.33,1.92,"Age"
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Most deprived vs least deprived",0.64,0.4,1,"Age, Sex"
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Women vs men",1.03,0.71,1.49,"Age"
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Women: Most deprived vs least deprived",0.53,0.32,0.89,"Age"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Asian vs non-Asian",NA,NA,NA,"Age, Sex"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Maori vs non-Maori",1.43,1.03,1.99,"Age, Sex"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Men: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Men: Maori vs non-Maori",0.99,0.54,1.79,"Age"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Men: Most deprived vs least deprived",1.23,0.66,2.29,"Age, Ethnicity"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Men: Pacific vs non-Pacific",0.65,0.3,1.38,"Age"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Most deprived vs least deprived",1.4,0.97,2.02,"Age, Sex, Ethnicity"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Pacific vs non-Pacific",0.7,0.45,1.11,"Age, Sex"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Women vs men",0.97,0.72,1.3,"Age"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Women: Maori vs non-Maori",1.94,1.4,2.69,"Age"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Women: Most deprived vs least deprived",1.52,0.98,2.36,"Age, Ethnicity"
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Women: Pacific vs non-Pacific",0.77,0.47,1.26,"Age"
"ind_12","Gambling participation frequency","Average number of activities",NA,NA,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Asian vs non-Asian",0.56,0.45,0.69,"Age, Sex"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Maori vs non-Maori",1.01,0.9,1.15,"Age, Sex"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Men: Asian vs non-Asian",0.6,0.42,0.85,"Age"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Men: Maori vs non-Maori",1.02,0.83,1.24,"Age"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Men: Most deprived vs least deprived",0.92,0.77,1.1,"Age, Ethnicity"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Men: Pacific vs non-Pacific",1.01,0.82,1.25,"Age"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Most deprived vs least deprived",0.96,0.85,1.09,"Age, Sex, Ethnicity"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Pacific vs non-Pacific",0.93,0.81,1.06,"Age, Sex"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Women vs men",1.07,0.99,1.16,"Age"
