"indicator","subtopic","short.description","population","group","percent.12","percent.14","percent.16","percent.18","p.value.18.12","p.value.18.14","p.value.18.16","p.value.16.12","p.value.16.14"
"ind_1","Gambling participation","Any gambling activities","adults","Total",69.8,70.2,70.2,67.2,0.2,0.2,0.1,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Men",67.8,70.3,72,67.3,0.9,0.3,0.1,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Women",71.6,70.1,68.5,67.2,0.1,0.3,0.6,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","15-24",50.6,52.4,52.9,45.4,0.5,0.3,0.2,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","25-44",71.6,72.2,69.9,68.8,0.3,0.3,0.7,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","45-64",77.1,76.6,79.4,73.4,0.2,0.3,0,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","65+",72.4,73.3,71.7,74,0.7,0.9,0.5,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Maori",74,73.5,73.1,69.3,0.3,0.4,0.4,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Pacific",67,62.9,61.6,60.4,0.2,0.6,0.8,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Asian",53.1,53.7,52.8,41.4,0.1,0.1,0,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","European/Other",70.7,73.9,74,72.7,0.4,0.6,0.5,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Least (1-3)",71.6,76,72.4,67.9,0.3,0,0.2,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Mid (4-7)",70.3,68.5,70.5,68.4,0.6,1,0.5,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Most (8-10)",67.3,65.6,67.1,65.1,0.6,0.9,0.6,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Total",20,15.9,15.6,14,0,0.2,0.2,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Men",22.6,18.6,15.3,15.4,0,0.2,0.9,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Women",17.6,13.4,15.9,12.7,0,0.7,0,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","15-24",5.5,3.8,1.2,1.2,0,0.2,0.9,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","25-44",16.7,11,10.9,7.9,0,0.1,0.1,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","45-64",27.4,23.6,22,20.6,0,0.3,0.6,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","65+",27.1,23.3,27,25.4,0.6,0.5,0.6,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Maori",21.9,15.5,16.6,15.2,0,0.9,0.5,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Pacific",19,11.4,15.8,14.3,0.1,0.4,0.6,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Asian",13.2,7.8,6.4,7.8,0.3,1,0.7,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","European/Other",19.8,17.5,17,15,0,0.1,0.1,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Least (1-3)",21.7,16.7,12.1,11.4,0,0.1,0.8,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Mid (4-7)",19.7,16.2,16.6,14.7,0,0.5,0.3,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Most (8-10)",18.8,14.4,18.1,15.9,0.2,0.5,0.3,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Non-problem gambler",28.6,22.6,22.1,21.4,0,0.5,0.7,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Low-risk gambler",35.7,29.7,25.7,15.5,0,0.2,0.2,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Moderate-risk or problem gambler",26.5,13.7,20.4,16,0.4,0.8,0.7,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Total",NA,NA,36.6,40.5,NA,NA,0.3,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Men",NA,NA,35,42.7,NA,NA,0.3,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Women",NA,NA,38,38.5,NA,NA,0.9,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","15-24",NA,NA,35.1,30.9,NA,NA,0.7,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","25-44",NA,NA,43.1,46.1,NA,NA,0.6,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","45-64",NA,NA,34,46.3,NA,NA,0.1,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","65+",NA,NA,23.3,34.1,NA,NA,0.3,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Least (1-3)",NA,NA,31.5,38.4,NA,NA,0.5,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Mid (4-7)",NA,NA,34.7,48.8,NA,NA,0,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Most (8-10)",NA,NA,40.5,36.1,NA,NA,0.4,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Total",NA,NA,37.5,31,NA,NA,0.1,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Men",NA,NA,41.5,30.5,NA,NA,0.1,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Women",NA,NA,34.1,31.5,NA,NA,0.6,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","15-24",NA,NA,36.9,29.3,NA,NA,0.4,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","25-44",NA,NA,32,29,NA,NA,0.6,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","45-64",NA,NA,43.8,30,NA,NA,0,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","65+",NA,NA,41.5,43.3,NA,NA,0.9,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Least (1-3)",NA,NA,54.8,44.2,NA,NA,0.3,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Mid (4-7)",NA,NA,35.6,27.1,NA,NA,0.2,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Most (8-10)",NA,NA,31.7,28,NA,NA,0.5,NA,NA
